Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
817.034,2025-10-08T00:18:01.4911550Z,638954794814911640,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,37,Target_Up,Incorrect,1283,1.28,0.000,False,-2.910,5.097,9.500,-1.076,2.221,2.578,10.852
818.237,2025-10-08T00:18:02.6942970Z,638954794826943050,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,38,Target_Down,Hit,681,0.68,1.000,True,-0.005,-2.609,9.500,0.000,-0.062,2.851,10.598
819.338,2025-10-08T00:18:03.7951080Z,638954794837951170,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,39,Target_Up,Hit,576,0.58,0.950,True,0.356,5.479,9.500,0.096,2.355,2.741,10.852
820.398,2025-10-08T00:18:04.8556510Z,638954794848556590,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,40,Target_Up,Hit,544,0.54,0.809,True,0.004,6.201,9.500,-0.003,2.508,2.663,10.854
821.468,2025-10-08T00:18:05.9254680Z,638954794859254810,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,41,Target_Up,Hit,537,0.54,0.778,True,0.020,6.290,9.500,0.003,2.532,2.650,10.855
822.524,2025-10-08T00:18:06.9810810Z,638954794869810910,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,42,Target_Up,Hit,536,0.54,0.971,True,0.160,5.591,9.500,0.046,2.403,2.718,10.853
823.649,2025-10-08T00:18:08.1061950Z,638954794881062060,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,42,Target_Right,Incorrect,602,0.60,0.000,False,4.496,1.225,9.500,-1.589,1.048,2.570,10.741
824.971,2025-10-08T00:18:09.4281790Z,638954794894281860,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,43,Target_Up,Hit,795,0.80,0.781,True,0.479,6.148,9.500,0.121,2.474,2.679,10.854
826.053,2025-10-08T00:18:10.5099730Z,638954794905099920,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,44,Target_Up,Hit,566,0.57,0.758,True,0.309,6.298,9.500,0.082,2.541,2.643,10.855
827.447,2025-10-08T00:18:11.9042560Z,638954794919042630,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,45,Target_Right,Hit,879,0.88,0.370,True,6.006,1.186,9.500,1.597,1.086,2.564,10.746
828.630,2025-10-08T00:18:13.0872780Z,638954794930872880,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,46,Target_Left,Hit,659,0.66,0.930,True,-4.359,1.084,9.500,-1.274,1.061,2.750,10.741
829.967,2025-10-08T00:18:14.4247520Z,638954794944247650,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,47,Target_Up,Hit,819,0.82,0.717,True,1.065,5.624,9.500,0.310,2.367,2.718,10.853
831.245,2025-10-08T00:18:15.7027270Z,638954794957027350,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,48,Target_Left,Hit,759,0.76,0.870,True,-4.605,1.107,9.500,-1.321,1.073,2.729,10.740
832.236,2025-10-08T00:18:16.6930740Z,638954794966930810,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,48,Target_Center,Incorrect,468,0.47,0.961,True,-0.198,1.099,9.500,-0.062,1.066,3.049,9.955
833.484,2025-10-08T00:18:17.9417500Z,638954794979417580,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,49,Target_Left,Hit,734,0.73,0.935,True,-4.413,1.225,9.500,-1.262,1.104,2.758,10.740
834.709,2025-10-08T00:18:19.1667180Z,638954794991667300,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,50,Target_Down,Hit,691,0.69,0.680,True,-1.026,-3.262,9.500,-0.301,-0.219,2.769,10.597
835.859,2025-10-08T00:18:20.3160790Z,638954795003160910,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,51,Target_Down,Hit,619,0.62,0.818,True,0.288,-1.878,9.500,0.076,0.127,2.915,10.600
837.347,2025-10-08T00:18:21.8042630Z,638954795018042700,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,52,Target_Right,Hit,983,0.98,0.766,True,4.950,1.215,9.500,1.392,1.099,2.689,10.742
838.599,2025-10-08T00:18:23.0562520Z,638954795030562580,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,53,Target_Up,Hit,726,0.73,0.971,True,-0.243,5.496,9.500,-0.070,2.339,2.750,10.852
839.781,2025-10-08T00:18:24.2379060Z,638954795042379130,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,54,Target_Up,Hit,662,0.66,0.968,True,-0.259,5.221,9.500,-0.076,2.278,2.778,10.852
840.897,2025-10-08T00:18:25.3545080Z,638954795053545190,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,55,Target_Up,Hit,595,0.60,0.901,True,0.436,5.707,9.500,0.125,2.405,2.715,10.853
841.948,2025-10-08T00:18:26.4050810Z,638954795064050930,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,56,Target_Up,Hit,543,0.54,0.308,True,1.186,3.540,9.500,0.364,1.847,2.912,10.848
852.142,2025-10-08T00:18:36.5996090Z,638954795165996170,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,56,Target_Down,Incorrect,604,0.60,0.000,False,-0.042,0.361,9.778,0.018,1.593,3.003,10.615
852.833,2025-10-08T00:18:37.2904420Z,638954795172904500,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,57,Target_Down,Hit,165,0.17,0.313,True,0.103,-4.796,9.500,0.024,-0.509,2.576,10.641
854.127,2025-10-08T00:18:38.5847440Z,638954795185847530,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,58,Target_Center,Hit,784,0.78,0.915,True,-0.130,0.869,9.500,-0.042,0.986,3.048,9.955
856.075,2025-10-08T00:18:40.5326630Z,638954795205326760,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,59,Target_Right,Hit,1429,1.43,0.528,True,2.966,2.590,9.500,0.897,1.485,2.885,10.721
857.540,2025-10-08T00:18:41.9972780Z,638954795219972850,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,60,Target_Down,Hit,945,0.95,0.320,True,-0.203,-0.507,9.500,-0.063,0.543,2.999,10.620
858.701,2025-10-08T00:18:43.1583540Z,638954795231583630,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,61,Target_Down,Hit,636,0.64,0.827,True,-0.124,-1.863,9.500,-0.039,0.167,2.901,10.627
860.451,2025-10-08T00:18:44.9088480Z,638954795249088560,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,61,Target_Center,Incorrect,1229,1.23,0.555,True,-0.445,-0.105,9.500,-0.141,0.687,3.020,9.959
